rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,RxMAC,SeqNum,GpsLon,GpsLat,CamLon,CamLat,Timestamp
1608719972832695960,,153,,1549879530,384275010,'',"""4c",153,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879530384
1608719972962618112,,154,,1549879530,398501580,'',"""4c",154,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879530398
1608719973102642059,,155,,1549879530,420426857,'',"""4c",155,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879530420
1608719973212629079,,156,,1549879530,473499494,'',"""4c",156,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879530473
1608719973332581996,,157,,1549879530,493906135,'',"""4c",157,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879530493
1608719973453289031,,158,,1549879530,532040274,'',"""4c",158,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879530532
1608719973563077926,,159,,1549879530,569422092,'',"""4c",159,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879530569
1608719973672573089,,160,,1549879530,592224742,'',"""4c",160,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879530592
1608719973812683105,,161,,1549879530,605655279,'',"""4c",161,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879530605
1608719973922626972,,162,,1549879530,659664675,'',"""4c",162,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879530659
1608719974062637090,,163,,1549879530,666628444,'',"""4c",163,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879530666
1608719974172702074,,164,,1549879530,711654251,'',"""4c",164,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879530711
1608719974302598953,,165,,1549879530,714521237,'',"""4c",165,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879530714
1608719974432657003,,166,,1549879530,732634930,'',"""4c",166,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879530732
1608719974552649021,,167,,1549879530,767129484,'',"""4c",167,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879530767
1608719974662566900,,168,,1549879530,790316471,'',"""4c",168,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879530790
